text,label,user_id,timestamp,parent_user_id,url
Weekend plans include reading. Should be fun!,0,user_000475,2025-08-31T21:17:46Z,,
Beautiful sunset today in London! 🌅 #photography,0,user_000206,2026-01-25T14:14:13Z,,https://wikipedia.org/article/4495
Reading about technology trends - fascinating developments in the field,0,user_000025,2025-12-01T13:15:33Z,,
Weather update: It's cloudy in Tokyo today,0,user_000374,2025-09-20T03:41:13Z,,
Reminder: presentation is coming up next week. Looking forward to it!,0,user_000440,2026-01-04T20:25:09Z,,
Great meeting with the sales team today. Productive discussions!,0,user_000232,2025-12-27T09:22:13Z,,https://techcrunch.com/article/4729
Weekend plans include hiking. Should be fun!,0,user_000629,2026-01-14T06:00:26Z,,
Reading about climate change - fascinating developments in the field,0,user_000166,2026-02-04T12:16:48Z,,
Celebrating achievement with the family today! 🎉,0,user_000113,2025-09-23T09:02:20Z,,
Weekend plans include hiking. Should be fun!,0,user_000653,2026-01-06T13:03:42Z,,
Reminder: webinar is coming up next week. Looking forward to it!,0,user_000087,2025-12-06T11:14:03Z,,https://medium.com/article/2143
Just finished reading an interesting article about renewable energy. Thoughts?,0,user_000008,2026-01-16T02:14:47Z,,https://wikipedia.org/article/4629
Beautiful sunset today in Sydney! 🌅 #photography,0,user_000363,2025-08-24T16:56:47Z,,
Just finished reading an interesting article about renewable energy. Thoughts?,0,user_000183,2025-11-23T22:58:26Z,,https://techcrunch.com/article/9842
Your Netflix payment failed. Update info to avoid suspension: https://claim-reward.org/secure875,1,user_000103,2025-12-06T12:26:54Z,,https://claim-reward.org/secure875
Weather update: It's sunny in New York today,0,user_000811,2025-11-02T00:12:56Z,,https://twitter.com/article/8989
BREAKING: Microsoft is giving away smart TV! Get yours: https://tinyurl.com/confirm748,1,user_000209,2025-09-21T09:46:10Z,,https://tinyurl.com/confirm748
Beautiful sunset today in Tokyo! 🌅 #photography,0,user_000110,2026-02-05T22:08:54Z,,https://techcrunch.com/article/4651
Great meeting with the sales team today. Productive discussions!,0,user_000768,2025-11-19T15:00:31Z,,https://linkedin.com/article/3578
Just finished reading an interesting article about climate change. Thoughts?,0,user_000545,2025-11-26T23:17:27Z,,https://linkedin.com/article/3639
Great meeting with the product team today. Productive discussions!,0,user_000759,2025-12-24T17:45:24Z,,https://medium.com/article/8723
Reading about climate change - fascinating developments in the field,0,user_000784,2025-09-06T08:21:17Z,,https://medium.com/article/7315
Your package could not be delivered. Reschedule: https://verify-now.net/verify195,1,user_000588,2026-02-08T19:44:56Z,,https://verify-now.net/verify195
Weather update: It's snowy in California today,0,user_000642,2025-09-13T15:30:40Z,,
Weekend plans include hiking. Should be fun!,0,user_000370,2025-12-23T17:58:36Z,,
⚠️ Account Locked: Your Microsoft needs immediate verification: https://claim-reward.org/update367,1,user_000192,2025-12-28T19:25:23Z,,https://claim-reward.org/update367
Reading about technology trends - fascinating developments in the field,0,user_000199,2025-09-10T18:33:02Z,,
Beautiful sunset today in Sydney! 🌅 #photography,0,user_000895,2025-11-18T05:42:21Z,,
Weather update: It's snowy in Tokyo today,0,user_000281,2025-11-22T15:29:40Z,,
